time,Adolescent fertility rate ,Agriculture_value added (% of GDP),Births attended by skilled health staff,CO2 emissions (metric tons per capita),Contraceptive prevalence_ any methods,DJIA,Electric power consumption (kWh per capita),Energy use ,Exports of goods and services (% of GDP),Fertility rate_total ,Forest area,GDP growth (annual %),GDP per capita (current US$),GNI per capita_Atlas method,GNI per capita_PPP,Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),Immunization_measles ,Imports of goods and services (% of GDP),Improved sanitation facilities,Improved water source ,Industry_value added (% of GDP),Inflation_GDP deflator (annual %),Inflation_consumer prices (annual %),Life expectancy at birth_total,Market capitalization of listed domestic companies (% of GDP),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Mortality rate_under-5 ,NASDAQ,Net barter terms of trade index (2000 = 100),Net migration,Number,Population,Population growth,Prevalence of underweight_weight for age,Revenue_excluding grants (% of GDP),Rusell1000,Russell1000,SP500,School enrollment_primary and secondary,School enrollment_secondary ,Services_value added (% of GDP),Surface area,Water productivity_total,happiness,internet_usage,nkill,nkillus
-7.26E+17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.3257,*,*,*
-6.94E+17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,77.3256,*,*,*
-6.63E+17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,77.6589,*,*,*
-5.37E+17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,79.3254,*,*,*
-4.10E+17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,82.6584,*,*,*
-3.79E+17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,81.241875,*,*,*
-2.84E+17,100,*,*,71.07670103,*,3.514079477,29.55061374,66.85791972,36.41537714,100,*,*,5.217244084,*,*,89.84074121,*,*,24.08087262,*,*,*,*,11.17690455,88.60735969,*,28.17907077,95.39665517,*,100,*,*,*,*,55.91322086,100,*,*,*,*,2.28911815,*,*,*,*,*,*,*,*,*
-2.53E+17,97.34948322,*,*,69.6617059,*,3.933223476,30.51663313,66.50641658,35.90294583,99.06951286,*,31.68442551,5.320369209,*,*,89.62425694,*,*,23.12401191,*,*,*,14.46142627,7.958786122,89.24234916,*,27.18364205,96.93244908,*,98.00664452,*,*,*,*,56.84783641,97.39935794,*,*,*,*,2.716304075,*,*,*,97.94110976,*,*,*,*,*
-2.21E+17,94.69896643,*,*,71.1395974,*,3.634142483,32.35127947,68.43221712,35.23924451,94.71811713,*,84.03260678,5.627943587,5.773631403,*,92.00043459,*,*,23.70772791,*,*,*,13.33121592,8.261461502,89.05030357,*,27.03456453,98.86782801,*,96.01328904,*,*,21.2408068,*,57.72891273,90.36450558,*,*,*,*,2.556865049,*,*,*,97.94110976,*,*,*,*,*
-1.89E+17,91.72040025,*,*,73.22228299,*,4.063747342,34.22569145,70.94688295,35.68553629,90.83196497,*,60.61368358,5.854654667,6.002464355,*,92.29477882,*,*,23.45247446,*,*,*,11.65764443,8.987302934,88.79321026,*,27.24419613,93.52756212,*,94.01993355,*,*,*,*,58.56573408,84.55763041,*,*,*,*,2.863549499,*,*,*,97.94110976,*,77.25894,*,*,*
